
 Lista de Imóveis da Caixa;;Data de geração:;12/12/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787708330804 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL 26 VG 599 ;179.520,35;178.063,91;0.00;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708330804
 8787708299222 ;SP ;AMERICANA ;CARIOBINHA ;RUA SAO SIMAO, N. 265, Apto 15B, BL B VG 76 ;226.273,90;210.000,00;0.00;Apartamento, 65.37 de área total, 44.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708299222
 1444416645820 ;SP ;AMERICANA ;JARDIM SAO DOMINGOS ;RUA TREZE DE MAIO, N. 880, Apto 24, BL B VAGA 24B ;276.792,70;250.000,00;0.00;Apartamento, 88.98 de área total, 57.89 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416645820
 8444426480598 ;SP ;AMERICANA ;LOTEAMENTO INDUSTRIAL MACHADINHO ;RUA ANGELO ORTOLAN, N. 150, Apto 301, BL 40 VG 430 ;215.051,70;175.000,00;0.00;Apartamento, 77.74 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426480598
 8444411035909 ;SP ;AMPARO ;JARDIM SILMARA ;RUA EUGENIO DORIGAN, N. 104, LT 28 QD L ;196.165,33;324.000,00;39.46;Casa, 0.00 de área total, 81.68 de área privativa, 180.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411035909
 1444419743602 ;SP ;AMPARO ;MARTIRIO ;ESTRADA MUNICIPAL SANTINO FERRAZ, N. SN, LT 01, GLEBA B ;195.113,77;314.000,00;37.87;Terreno, 0.00 de área total, 0.00 de área privativa, 357.48 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419743602
 8444421299941 ;SP ;ANHUMAS ;RESIDENCIAL JOAO MENOSSI ;RUA GERCINO MALACRIDA, N. 831, LT 23 QD D ;88.990,38;152.000,00;41.46;Casa, 52.72 de área total, 52.72 de área privativa, 220.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421299941
 8787712985585 ;SP ;ARACATUBA ;RESIDENCIAL LUANA ;RUA FELIPE FERNANDES (ANTIGA RUA NOVE), N. 251, QD I, LT 02 ;50.282,78;130.000,00;61.33;Casa, 0.00 de área total, 44.82 de área privativa, 140.00 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712985585
 8555534156315 ;SP ;ARACATUBA ;CHACARAS ARCOIRIS ;RUA JOSE FELICIANO PEREIRA, N. 91, LT 08 QD 18 ;64.649,29;130.000,00;50.27;Casa, 0.00 de área total, 60.00 de área privativa, 126.13 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534156315
 8787711498532 ;SP ;ARACATUBA ;RES AIMORE ;RUA DEZESSEIS, N. 258, LT 09 QD C2 ;64.649,29;130.000,00;50.27;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711498532
