id_imovel;data_analise;endereco;bairro;cidade;tipo_imovel;area_privativa_m2;quartos;vagas;link_imovel;valor_avaliacao;valor_minimo_leilao;desconto_percentual;tipo_leilao;data_leilao;modalidade;edital_ocupacao;edital_debitos_iptu;edital_debitos_condominio;edital_outros_debitos;edital_total_debitos;edital_comissao_leiloeiro_pct;edital_prazo_pagamento;edital_riscos;edital_score;matricula_numero;matricula_cartorio;matricula_gravames_extintos;matricula_gravames_transferidos;matricula_valor_gravames;matricula_irregularidades;matricula_score;mercado_preco_m2_regiao;mercado_valor_estimado;mercado_condominio_mensal;mercado_iptu_mensal;mercado_aluguel_estimado;mercado_liquidez;mercado_tempo_venda_medio_dias;mercado_fonte_pesquisa;custo_valor_arrematacao;custo_comissao_leiloeiro;custo_itbi;custo_escritura;custo_registro;custo_certidoes;custo_advocaticios;custo_desocupacao;custo_debitos_edital;custo_gravames_matricula;custo_reforma_estimado;custo_total_aquisicao;investimento_total;manutencao_total_6m;investimento_total_6m;venda_comissao_corretor;venda_irpf_ganho_capital;venda_custos_totais;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;cenario_roi_mensal;cenario_margem_seguranca;score_edital;score_matricula;score_localizacao;score_financeiro;score_liquidez;score_geral;recomendacao;nivel_risco;justificativa;pontos_atencao;proximos_passos
 8444406610887 ;2025-12-13;RUA SEVERINO SOUTO MAIOR, N. 108, Apto 43-A,;DISTRITO DE GUAIANAZ;SAO PAULO;Apartamento;35.0;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406610887;143000.0;87297.61;38.96;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;192500.0;500;150;1225.0;media;90;estimativa;87297.61;4364.88;2618.93;1500;1200;800.0;4000;10000;15000;0;10500.0;49983.81;137281.42;4800;142081.42;10972.5;4473.16;15445.66;182875.0;25347.92;17.84;2.97;22.31;50.0;100;64.65;40.09;65.0;62.69;ANALISAR_MELHOR;BAIXO;Score de 63/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444402793855 ;2025-12-13;AVENIDA UTARO KANAI, N. 841, Apto 31C, CONJ HAB. JARDIM SÃO PAULO;GUAIANAZES;SAO PAULO;Apartamento;41.18;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402793855;140000.0;85466.19;38.96;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;226490.0;500;150;1441.3;media;90;estimativa;85466.19;4273.31;2563.99;1500;1200;800.0;4000;10000;15000;0;12354.0;51691.3;137157.49;4800;141957.49;12909.93;9044.71;21954.64;215165.5;51253.37;36.1;6.02;34.02;50.0;100;64.65;50.52;65.0;65.29;ANALISAR_MELHOR;BAIXO;Score de 65/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444413560881 ;2025-12-13;RUA CORONEL SILVA TELES, N. 244, Apto 21,;PARQUE SAO VICENTE;SAO VICENTE;Apartamento;43.69;0;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413560881;237000.0;145116.17;38.77;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;196605.0;500;150;1529.1499999999999;media;90;estimativa;145116.17;7255.81;2902.32;2200;1800;800.0;4000;10000;15000;0;13107.0;57065.13;202181.3;4800;206981.3;11206.48;0;11206.48;186774.75;-31413.03;-15.18;-2.53;-10.82;50.0;100;84.65;15.18;65.0;61.46;ANALISAR_MELHOR;BAIXO;Score de 61/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555520017350 ;2025-12-13;RUA JEQUIRANA DE GOIAS, N. 515, Apto 63, TORRE 6;JARDIM SANTO ANTONIO;SAO PAULO;Apartamento;51.0;2;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520017350;241000.0;147565.38;38.77;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;280500.0;500;150;1785.0;media;90;estimativa;147565.38;7378.27;4426.96;2200;1800;800.0;4000;10000;15000;0;15300.0;60905.23;208470.61;4800;213270.61;15988.5;5582.38;21570.88;266475.0;31633.51;14.83;2.47;19.97;50.0;100;64.65;38.08;65.0;62.18;ANALISAR_MELHOR;BAIXO;Score de 62/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787714858564 ;2025-12-13;AVENIDA DOUTOR FELIPE PINEL, N. 3581, Apto 1208, TORRE A QD 09 VILA INÊS BAIRRO DE TAIP;PERUS;SAO PAULO;Apartamento;32.41;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714858564;240000.0;146953.08;38.77;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;178254.99999999997;500;150;1134.35;media;90;estimativa;146953.08;7347.65;4408.59;2200;1800;800.0;4000;10000;15000;0;9723.0;55279.24;202232.32;4800;207032.32;10160.53;0;10160.53;169342.25;-47850.61;-23.11;-3.85;-22.26;50.0;100;64.65;7.48;65.0;54.53;ANALISAR_MELHOR;BAIXO;Score de 55/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555539054340 ;2025-12-13;RUA ADERVAL ALVES RODRIGUES, N. 260, Apto D011, TORRE D;PARQUE DOM JOAO NERI;SAO PAULO;Apartamento;48.39;0;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539054340;236000.0;144503.86;38.77;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;266145.0;500;150;1693.65;media;90;estimativa;144503.86;7225.19;4335.12;2200;1800;800.0;4000;10000;15000;0;14517.0;59877.31;204381.17;4800;209181.17;15170.26;4272.95;19443.22;252837.75;24213.36;11.58;1.93;17.27;50.0;100;64.65;35.91;65.0;61.64;ANALISAR_MELHOR;BAIXO;Score de 62/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787702573535 ;2025-12-13;RUA KENKITI SHIMOMOTO, N. 1150, Apto 4, BL 04;13 DIST BUTANTA;SAO PAULO;Apartamento;41.56;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702573535;237000.0;145116.17;38.77;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;228580.0;500;150;1454.6000000000001;media;90;estimativa;145116.17;7255.81;4353.49;2200;1800;800.0;4000;10000;15000;0;12468.0;57877.3;202993.47;4800;207793.47;13029.06;0;13029.06;217151.0;-3671.53;-1.77;-0.29;4.31;50.0;100;64.65;26.1;65.0;59.19;ANALISAR_MELHOR;BAIXO;Score de 59/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787704390080 ;2025-12-13;AVENIDA AFONSO DE SAMPAIO E SOUSA, N. 339, Apto 58, 5º ANDAR - TORRE 2;JARDIM NOSSA SENHORA DO CARMO;SAO PAULO;Apartamento;40.86;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704390080;240000.0;146953.08;38.77;2a Praca;;Licitação Aberta;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;224730.0;500;150;1430.1;media;90;estimativa;146953.08;7347.65;4408.59;2200;1800;800.0;4000;10000;15000;0;12258.0;57814.24;204767.32;4800;209567.32;12809.61;0;12809.61;213493.5;-8883.43;-4.24;-0.71;1.84;50.0;100;64.65;24.25;65.0;58.73;ANALISAR_MELHOR;BAIXO;Score de 59/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787709466211 ;2025-12-13;RUA DAS ESTRELAS, N. 998, Apto 1108, TORRE A;CIDADE SATELITE SANTA BARBARA;SAO PAULO;Apartamento;35.49;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709466211;240000.0;146953.08;38.77;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;195195.0;500;150;1242.15;media;90;estimativa;146953.08;7347.65;4408.59;2200;1800;800.0;4000;10000;15000;0;10647.0;56203.24;203156.32;4800;207956.32;11126.11;0;11126.11;185435.25;-33647.19;-16.18;-2.7;-12.14;50.0;100;64.65;14.27;65.0;56.23;ANALISAR_MELHOR;BAIXO;Score de 56/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787709806349 ;2025-12-13;RUA CARMEM SILVA, N. 55, Apto 1405, 13 PAV TR 02 VAGA DE GARAGEM N. 87;VILA COSMOPOLITA;SAO PAULO;Apartamento;43.4;2;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709806349;239000.0;146340.78;38.77;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;238700.0;500;150;1519.0;media;90;estimativa;146340.78;7317.04;4390.22;2200;1800;800.0;4000;10000;15000;0;13020.0;58527.26;204868.04;4800;209668.04;13605.9;523.66;14129.56;226765.0;2967.4;1.42;0.24;7.54;50.0;100;64.65;28.51;65.0;59.79;ANALISAR_MELHOR;BAIXO;Score de 60/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787710068135 ;2025-12-13;AVENIDA PROFESSOR MIGUEL FRANCHINI NETO, N. 186, Apto 309, TR 01;LOTEAMENTO CITY JARAGUA;SAO PAULO;Apartamento;38.44;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710068135;238000.0;145728.47;38.77;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;5500;211420.0;500;150;1345.3999999999999;media;90;estimativa;145728.47;7286.42;4371.85;2200;1800;800.0;4000;10000;15000;0;11532.0;56990.27;202718.74;4800;207518.74;12050.94;0;12050.94;200849.0;-18720.68;-9.02;-1.5;-3.32;50.0;100;64.65;20.47;65.0;57.78;ANALISAR_MELHOR;BAIXO;Score de 58/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
