id_imovel;endereco;bairro;cidade;valor_minimo_leilao;desconto_percentual;investimento_total_6m;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;score_geral;recomendacao;nivel_risco
 1444407829655 ;RUA SAO CAETANO DO SUL, N. 673, Apto 11, BL B;CONJUNTO HABITACIONAL BRIGADEIRO FARIA L;SAO PAULO;122737.54;37.06;183837.55;263487.25;54264.4;29.52;64.17;ANALISAR_MELHOR;BAIXO
 8555538537445 ;RUA NOVENTA E CINCO, N. 275, Apto 22, 2 PAVIMENTO DO BL 1 DISTRITO GUAIANAZE;VILA ROSEIRA II;SAO PAULO;130553.32;39.56;191654.59;267263.5;50637.13;26.42;64.05;ANALISAR_MELHOR;BAIXO
 8787711043519 ;RUA MARIO REGALLO PEREIRA, N. 128, Apto 28, BL 05 SUBCOND 02;JARDIM GILDA MARIA;SAO PAULO;123300.35;39.56;184112.38;256633.0;48554.24;26.37;64.04;ANALISAR_MELHOR;BAIXO
 8787714251945 ;RUA FORTE DA RIBEIRA, N. 250, Apto 11, BL 04;PARQUE SAO LOURENCO;SAO PAULO;123904.77;39.56;184765.15;256633.0;47999.39;25.98;63.98;ANALISAR_MELHOR;BAIXO
 8555528879700 ;AVENIDA SENADOR SALGADO FILHO, N. 1050, Apto 46, BL III;VILA JOCKEI CLUBE;SAO VICENTE;137181.25;41.07;199327.93;202612.2;-8872.46;-4.45;63.97;ANALISAR_MELHOR;BAIXO
 8787710959773 ;RUA ENEAS CAMARGO, N. 388, Apto 23, BL 04;CHACARA MARIA TRINDADE;SAO PAULO;119400.0;40.0;179492.0;248235.0;45771.56;25.5;63.97;ANALISAR_MELHOR;BAIXO
 8444402452829 ;RUA ELISEU REINALDO MORAES VIEIRA, N. 4670, Apto B033, BL B03 LT B QD 02;JARDIM BRASILIA (ZONA NORTE);SAO PAULO;113012.95;40.21;173418.99;236953.75;41919.91;24.17;63.8;ANALISAR_MELHOR;BAIXO
 8787705017587 ;RUA LAGOA DE DENTRO, N. 170, Apto 146, TRB;VILA SILVIA;SAO PAULO;123904.77;39.56;184597.15;253175.0;45379.25;24.58;63.78;ANALISAR_MELHOR;BAIXO
 8787711767541 ;AVENIDA ADRIANO BERTOZZI, N. 700, Apto 06, BL 04;JARDIM HELIAN;SAO PAULO;120882.7;39.56;181093.32;248235.0;44410.45;24.52;63.77;ANALISAR_MELHOR;BAIXO
 8787705969782 ;RUA SANTA AMELIA, N. 141, Apto 03, BL 04;JARDIM DO LAGO;SAO PAULO;120882.7;39.56;181093.32;248235.0;44410.45;24.52;63.77;ANALISAR_MELHOR;BAIXO
 8787710723168 ;RUA SANTA AMELIA, N. 190, Apto 34, 3º PAVIMENTO, BL 02;JARDIM DO LAGO;SAO PAULO;126926.84;39.56;188028.99;256633.0;45225.13;24.05;63.7;ANALISAR_MELHOR;BAIXO
 8787708354800 ;RUA SANTA AMELIA, N. 190, Apto 45, BL 4 13º SUBDISTRITO BUTANTÃ;CHACARA BUSSOCABA;SAO PAULO;126926.84;39.56;188028.99;256633.0;45225.13;24.05;63.7;ANALISAR_MELHOR;BAIXO
 8787708816316 ;AVENIDA DOS OURIVES, N. 1103, Apto 07, BL 2 PAV TÉRREO;JARDIM SAO SAVERIO;SAO PAULO;123753.66;41.07;184193.95;248235.0;41774.91;22.68;63.69;ANALISAR_MELHOR;BAIXO
 8787701468932 ;RUA CARMINE MONETTI, N. 1280, Apto 22, 2º PAVIMENTO, BLOCO 02;JARDIM DAS OLIVEIRAS;SAO PAULO;116047.39;39.56;175427.18;239096.0;41924.6;23.9;63.68;ANALISAR_MELHOR;BAIXO
 8555539170316 ;RUA SANTANA DO RIO PRETO, N. 440, Apto 204, 2º PAV BL 02 VAGA 28;VILA COSMOPOLITA;SAO PAULO;137806.28;39.56;200549.78;272502.75;47262.38;23.57;63.63;ANALISAR_MELHOR;BAIXO
 8787703220156 ;RUA PEDRA BRANCA DO AMAPARI, N. 1800, Apto 211, PAV 2, TORRE 3;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;100181.53;48.63;160440.06;202534.3;25450.86;15.86;63.58;ANALISAR_MELHOR;BAIXO
 1787701070680 ;RUA TOMOICHI SHIMIZU, N. 420, Apto 304, TORRE 2 VG 20;GUAIANAZES;SAO PAULO;132178.89;37.06;194253.2;267995.0;49012.79;25.23;63.56;ANALISAR_MELHOR;BAIXO
 8787708676816 ;RUA EMILIA PILON, N. 47, Apto 33, PAV 3 BL 2;JARDIM DO LAGO;SAO PAULO;123300.35;39.56;183704.38;248235.0;42191.04;22.97;63.54;ANALISAR_MELHOR;BAIXO
 8787711451749 ;AVENIDA ADRIANO BERTOZZI, N. 700, Apto 05, BL 02 PNE TÉRREO;JARDIM HELIAN;SAO PAULO;129600.0;40.0;190916.0;256633.0;42771.17;22.4;63.52;ANALISAR_MELHOR;BAIXO
 8555538580294 ;RUA KENKITI SHIMOMOTO, N. 1500, Apto 01, BL 04;JARDIM BOA VISTA (ZONA OESTE);SAO PAULO;117860.63;39.56;177385.48;239096.0;40260.05;22.7;63.5;ANALISAR_MELHOR;BAIXO
 8787702759914 ;RUA BENTO SOARES MOTA, N. 65, Apto 85, BL 02;GUAIANAZES;SAO PAULO;129344.49;39.56;190649.04;256818.25;43146.09;22.63;63.49;ANALISAR_MELHOR;BAIXO
 8787705284941 ;RUA JOSE GINES, N. 295, Apto 32, BL 01;JARDIM DAS OLIVEIRAS;SAO PAULO;123904.77;39.56;184357.15;248235.0;41636.19;22.58;63.48;ANALISAR_MELHOR;BAIXO
